event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,country,admin1,location,latitude,longitude,fatalities,month_number,month_name,quarter,year_month,day_of_week,week_of_year,is_weekend,conflict_phase,location_type,urban_rural_classification,population_density_level,conflict_intensity_zone,distance_to_border_km,strategic_importance,primary_actor_name,primary_actor_type,primary_actor_affiliation,primary_actor_state_status,secondary_actor_name,secondary_actor_type,secondary_actor_affiliation,secondary_actor_state_status,economic_sector_affected,sector_category,sector_gdp_contribution,sector_employment_size,business_type_damaged,business_size,business_ownership,businesses_affected_count,trade_route_affected,trade_disruption_type,trade_goods_affected,trade_disruption_severity,economic_damage_usd,business_disruption_days,employment_loss_count,agriculture_land_affected_hectares,gdp_impact_local_percentage,affected_age_category,affected_population,children_affected_count,women_affected_count,vulnerable_groups_present,gender_distribution,displacement_type,displacement_duration_category,displacement_destination,displacement_conditions,primary_need_critical,need_urgency,healthcare_access_status,water_access_status,injured_count,displaced_persons,shelters_destroyed_count,humanitarian_aid_required_usd,infrastructure_primary,infrastructure_category,infrastructure_criticality,infrastructure_ownership,damage_severity,damage_type,structural_safety,repair_feasibility,service_disrupted,service_coverage_before,service_backup_exists,population_affected_by_outage,estimated_repair_cost_usd,infrastructure_downtime_days,capacity_loss_percentage,people_without_service_count,org_type_responding,org_mandate_primary,org_capacity_level,org_presence,diplomatic_action_type,diplomatic_level,responding_entity,response_position,media_coverage_type,media_reach_level,media_source_geography,media_framing,aid_orgs_responding_count,foreign_aid_pledged_usd,foreign_aid_delivered_usd,response_time_hours,media_coverage_score,conflict_type_legal,conflict_symmetry,conflict_intensity,international_law_framework,target_classification,weapon_method_primary,civilian_harm_circumstance,law_of_war_concern,combatant_casualties,civilian_casualties
CountryA1,2017-01-21,2017,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region8,City245,35.3469,36.5366,0,1,January,1,17-Jan,Saturday,3,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,6,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Industry,Secondary,Minor <5%,Small <1k,Service Center,Medium 50-250,Corporate,11,Internal Route 1,Border Closure,Food/Agriculture,Moderate,529392,17,250,0,0.52,Mixed All Ages,1582,581,827,Disabled,Balanced,Evacuated,Medium-term 1-6mo,Relatives Home,Unsafe,Medical Care,Moderate <7d,Medical Evac Required,No Water Access,0,1099,19,157459,Port,Transportation,Non-Critical,Mixed,Moderate 25-50%,Multiple Types,Needs Minor Repair,Medium Repair 1-6mo,Transportation,Full 90-100%,No Backup,1000-5000,7979468,36,25,4462,Intl NGO,Food Security,Medium Regional,Deployed for Event,Statement Only,Regional Bloc,Arab League,Pro-Country D/Country E,Regional Coverage,Regional,Global Mixed,Geopolitical Analysis,2,130543,86539,10,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA2,2017-12-13,2017,Political violence,Battles,Armed clash,Military Group 3561,Unknown,State forces,Actor 2741,Unknown,Rebel group,State forces-Rebel group,Country A,Region7,City508,34.721,40.755,0,12,December,4,17-Dec,Wednesday,50,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,68,Low,Military Group 3561,State Military,Independent,State Actor,Actor 2741,Unknown,Independent,Civilians,Industry,Secondary,Medium 5-20%,Large >10k,Market,Small 5-50,Family-owned,2,Internal Route 1,Border Closure,Food/Agriculture,Moderate,606193,18,54,0,0.43,Mixed All Ages,746,292,386,Orphans,Balanced,Internally Displaced-IDP,Temporary <7d,School Building,Overcrowded,Multiple Critical,Immediate Life-Threatening,Medical Evac Required,Unsafe Water Only,0,457,15,134615,Port,Transportation,Non-Critical,Mixed,Minor <25%,Equipment Destruction,Safe/Operational,Quick Repair <1mo,Transportation,Low <40%,Temporary Alternative,5000-20000,2963095,12,24,11761,Local NGO,Emergency Medical,Large Global,Pre-existing,Statement Only,Bilateral Country,UN,Pro-Country D/Country E,Regional Coverage,Regional,Global Mixed,Sympathetic to Victims,0,0,0,0,3,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Other,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA3,2017-02-26,2017,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City394,35.5458,36.5442,0,2,February,1,17-Feb,Sunday,8,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,89,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Minor <5%,Small <1k,Retail Shop,Micro <5 emp,Family-owned,10,Internal Route 1,Border Closure,Food/Agriculture,Moderate,521903,10,94,0,0.31,Mixed All Ages,1357,596,626,Multiple,Balanced,Sheltering in Place,Short-term <1mo,UNRWA Shelter,Adequate,Medical Care,High Priority <72h,No Access,Intermittent,0,27,67,673401,Port,Transportation,Non-Critical,Mixed,Moderate 25-50%,Equipment Destruction,Needs Minor Repair,Medium Repair 1-6mo,Transportation,High 70-90%,No Backup,5000-20000,6180802,29,34,12352,Multiple Types,Food Security,Medium Regional,Remote Coordination,No Action,Bilateral Country,UN,Pro-Country D/Country E,International Mainstream,Global Limited,Western Media,Humanitarian Focus,9,252958,81328,12,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA4,2017-11-01,2017,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region5,City162,36.206,37.1524,0,11,November,4,17-Nov,Wednesday,44,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,103,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Medium 5-20%,Medium 1k-10k,Retail Shop,Micro <5 emp,Family-owned,11,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1260394,83,162,0,0.13,Mixed All Ages,2519,1102,1166,Multiple,Predominantly Female,Sheltering in Place,Medium-term 1-6mo,UNRWA Shelter,Minimal Services,Clean Water,High Priority <72h,Medical Evac Required,No Water Access,0,58,45,390895,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Fire Damage,Unsafe-Evacuated,Reconstruction >6mo,Transportation,Full 90-100%,Yes Full Backup,100-1000,1697860,155,51,812,Local NGO,Emergency Medical,Large Global,Pre-existing,No Action,Bilateral Country,UN,Pro-Country D/Country E,Regional Coverage,Regional,Middle East Media,Humanitarian Focus,0,0,0,0,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA5,2017-04-19,2017,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 1051,Military Group 3561,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region5,City85,36.2922,37.0443,0,4,April,2,17-Apr,Wednesday,16,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,36,Low,Military Group 1051,Unknown,Russian Forces,Civilians,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Medium 5-20%,Small <1k,Service Center,Small 5-50,Corporate,9,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1139184,81,369,0,0.55,Adults 19-60,3313,1087,1540,Multiple,Balanced,Sheltering in Place,Medium-term 1-6mo,UNRWA Shelter,Overcrowded,Shelter,Moderate <7d,Partial Access,No Water Access,0,173,24,439025,Residential,Residential,Non-Critical,Community,Minor <25%,Equipment Destruction,Safe/Operational,Quick Repair <1mo,Multiple Services,Low <40%,No Backup,1000-5000,2118092,2,21,3617,Local NGO,Shelter/Housing,Medium Regional,Scaling Up,Resolution Vote,Bilateral Country,Arab League,Condemning Both,Regional Coverage,Regional,Global Mixed,Geopolitical Analysis,2,214215,123721,47,4,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Civilian Infrastructure,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA6,2017-09-02,2017,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region13,City427,33.3087,35.9213,0,9,September,3,17-Sep,Saturday,35,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,27,Medium,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Minor <5%,Large >10k,Retail Shop,Micro <5 emp,Family-owned,0,Internal Route 1,Border Closure,Food/Agriculture,Moderate,923545,45,122,0,0.32,Elderly 60+,2581,1011,1258,Pregnant,Balanced,Sheltering in Place,Long-term >6mo,UNRWA Shelter,Overcrowded,Shelter,Immediate Life-Threatening,Partial Access,No Water Access,0,90,12,314510,Port,Transportation,Non-Critical,Mixed,Moderate 25-50%,Fire Damage,Needs Minor Repair,Medium Repair 1-6mo,Transportation,High 70-90%,Partial Backup,100-1000,1055650,23,48,391,UN Agency,Protection/Rights,Large Global,Scaling Up,Investigation Launched,UN Security Council,OIC,Neutral/Balanced,Regional Coverage,Regional,Western Media,Factual/Neutral,2,216031,129703,21,3,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA7,2017-02-28,2017,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Civilian Group 1594,Unknown,Civilians,State forces-Civilians,Country A,Region13,City418,33.4933,36.4693,6,2,February,1,17-Feb,Tuesday,9,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,61,Low,Military Group 3561,State Military,Independent,State Actor,Civilian Group 1594,Civilians,Independent,Civilians,Trade,Tertiary,Minor <5%,Large >10k,Retail Shop,Small 5-50,Family-owned,13,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1733130,115,352,0,1.25,Adults 19-60,2336,959,1180,Disabled,Balanced,Internally Displaced-IDP,Temporary <7d,UNRWA Shelter,Overcrowded,Food,Immediate Life-Threatening,No Access,Unsafe Water Only,48,2797,59,738770,Commercial,Commercial,Medium Priority,Private Sector,Major 75-95%,Shelling Damage,Partially Collapsed,Reconstruction >6mo,Multiple Services,Full 90-100%,Temporary Alternative,1000-5000,1246468,254,81,4670,Local NGO,Emergency Medical,Large Global,Pre-existing,Statement Only,UN General Assembly,Individual Nation,Pro-Country D/Country E,Social Media Viral,Global Limited,Middle East Media,Humanitarian Focus,0,0,0,0,6,International Armed Conflict,Internal Factional,Firefight,Geneva Conventions Apply,Civilians Directly Targeted,Artillery/Mortars,Civilians Directly Targeted,Clear War Crime Indicator,0,6
CountryA8,2017-08-29,2017,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Civilian Group 1594,Unknown,Civilians,State forces-Civilians,Country A,Region7,City543,35.4753,39.9541,1,8,August,3,17-Aug,Tuesday,35,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,35,Medium,Military Group 3561,State Military,Independent,State Actor,Civilian Group 1594,Civilians,Independent,Civilians,Agriculture,Primary,Medium 5-20%,Medium 1k-10k,Market,Micro <5 emp,Corporate,11,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1190946,107,365,41,0.55,Adults 19-60,3659,1104,1892,Multiple,Balanced,Sheltering in Place,Short-term <1mo,UNRWA Shelter,Overcrowded,Medical Care,Immediate Life-Threatening,Partial Access,Unsafe Water Only,8,159,30,38973,Residential,Residential,Non-Critical,Community,Major 75-95%,Fire Damage,Partially Collapsed,Reconstruction >6mo,Multiple Services,Full 90-100%,No Backup,>50000,407550,293,91,68970,Red Cross/Crescent,Shelter/Housing,Large Global,Pre-existing,Condemnation,Regional Bloc,Arab League,Neutral/Balanced,International Mainstream,Global Widespread,Global Mixed,Humanitarian Focus,3,156216,75059,25,7,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Civilians Directly Targeted,IED/Explosives,Civilians Directly Targeted,Potential War Crime Indicator,0,1
CountryA9,2017-01-26,2017,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City553,35.4293,36.7708,0,1,January,1,17-Jan,Thursday,4,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,29,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Industry,Secondary,Medium 5-20%,Medium 1k-10k,Office,Micro <5 emp,Government,3,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1976354,60,149,0,0.5,Mixed All Ages,2900,1156,1513,Multiple,Balanced,Sheltering in Place,Long-term >6mo,UNRWA Shelter,Unsafe,Shelter,High Priority <72h,No Access,No Water Access,0,25,36,416985,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Multiple Types,Unsafe-Evacuated,Reconstruction >6mo,Transportation,Partial 40-70%,No Backup,<100,7086498,178,54,0,Red Cross/Crescent,Food Security,Large Global,Remote Coordination,Statement Only,Bilateral Country,OIC,Ceasefire Call,Local News Only,Local,Middle East Media,Factual/Neutral,10,107076,60823,27,2,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA10,2017-07-04,2017,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 1051,Unknown,State forces,Civilian Group 1594,Unknown,Civilians,State forces-Civilians,Country A,Region13,City265,33.5472,36.46,0,7,July,3,17-Jul,Tuesday,27,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,114,Medium,Military Group 1051,Unknown,Russian Forces,Civilians,Civilian Group 1594,Civilians,Independent,Civilians,Services,Tertiary,Medium 5-20%,Small <1k,Retail Shop,Micro <5 emp,Cooperative,9,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1208842,58,360,0,0.12,Adults 19-60,3740,1606,1959,Refugees,Balanced,Sheltering in Place,Medium-term 1-6mo,UNRWA Shelter,Overcrowded,Medical Care,Moderate <7d,Partial Access,Unsafe Water Only,0,153,72,59692,Port,Transportation,Non-Critical,Mixed,Moderate 25-50%,Equipment Destruction,Needs Minor Repair,Medium Repair 1-6mo,Transportation,Full 90-100%,No Backup,100-1000,5795180,40,34,830,Local NGO,Emergency Medical,Large Global,Pre-existing,Condemnation,Regional Bloc,UN,Neutral/Balanced,Local News Only,Local,Global Mixed,Humanitarian Focus,0,0,0,0,2,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Civilians Directly Targeted,IED/Explosives,Civilians Directly Targeted,Potential War Crime Indicator,0,0
